date,league,home_team,away_team,home_goals,away_goals
2024-05-12T15:30:00+00:00,Ekstraklasa,Lech Poznan,Legia Warszawa,1,2
2024-05-13T17:00:00+00:00,Ekstraklasa,Radomiak Radom,Ruch Chorzów,0,2
2024-05-17T16:00:00+00:00,Ekstraklasa,Stal Mielec,Pogon Szczecin,0,0
2024-05-17T18:30:00+00:00,Ekstraklasa,Gornik Zabrze,Puszcza Niepołomice,1,1
2024-05-18T13:00:00+00:00,Ekstraklasa,Korona Kielce,Ruch Chorzów,2,0
2024-05-18T15:30:00+00:00,Ekstraklasa,Slask Wroclaw,Radomiak Radom,2,0
2024-05-18T18:00:00+00:00,Ekstraklasa,Piast Gliwice,Jagiellonia,1,1
2024-05-19T10:30:00+00:00,Ekstraklasa,Cracovia Krakow,Raków Częstochowa,2,0
2024-05-19T13:00:00+00:00,Ekstraklasa,Warta Poznań,Legia Warszawa,0,1
2024-05-19T15:30:00+00:00,Ekstraklasa,Widzew Łódź,Lech Poznan,1,1
2024-05-20T17:00:00+00:00,Ekstraklasa,Zaglebie Lubin,ŁKS Łódź,2,1
2024-05-25T15:30:00+00:00,Ekstraklasa,Jagiellonia,Warta Poznań,3,0
2024-05-25T15:30:00+00:00,Ekstraklasa,Legia Warszawa,Zaglebie Lubin,2,1
2024-05-25T15:30:00+00:00,Ekstraklasa,Lech Poznan,Korona Kielce,1,2
2024-05-25T15:30:00+00:00,Ekstraklasa,Pogon Szczecin,Gornik Zabrze,1,0
2024-05-25T15:30:00+00:00,Ekstraklasa,Puszcza Niepołomice,Piast Gliwice,1,0
2024-05-25T15:30:00+00:00,Ekstraklasa,Raków Częstochowa,Slask Wroclaw,1,2
2024-05-25T15:30:00+00:00,Ekstraklasa,ŁKS Łódź,Stal Mielec,3,2
2024-05-25T15:30:00+00:00,Ekstraklasa,Radomiak Radom,Widzew Łódź,1,3
2024-05-25T15:30:00+00:00,Ekstraklasa,Ruch Chorzów,Cracovia Krakow,2,0
